Label,ROI_number,x,y,z,VOL,Frontal_L,Frontal_R,Parietal_L,Parietal_R,Occipital_L,Occipital_R,Temporal_L,Temporal_R,Insula_L,Insula_R,Subcortical_L,Subcortical_R
7Networks_LH_Vis_1,1,-23.8422018348624,-53.0311926605505,-9.11192660550459,545,0,0,0.00917431192660551,0,0.66605504587156,0,0.0385321100917431,0,0,0,0,0
7Networks_LH_Vis_2,2,-25.3753327417924,-76.7311446317657,-13.4729370008873,1127,0,0,0,0,0.879325643300799,0,0.0878438331854481,0,0,0,0,0
7Networks_LH_Vis_3,3,-45.3039889958735,-69.3507565337001,-8.54470426409904,727,0,0,0,0,0.680880330123797,0,0.213204951856946,0,0,0,0,0
7Networks_LH_Vis_4,4,-9.62088974854932,-67.0174081237911,-4.55705996131528,517,0,0,0.104448742746615,0,0.843326885880077,0,0,0,0,0,0,0
7Networks_LH_Vis_5,5,-26.318954248366,-94.9516339869281,-12.3372549019608,765,0,0,0,0,0.848366013071895,0,0,0,0,0,0,0
7Networks_LH_Vis_6,6,-14.1349693251534,-44.7239263803681,-2.89570552147239,163,0,0,0.625766871165644,0,0.226993865030675,0,0,0,0,0,0.00613496932515337,0
7Networks_LH_Vis_7,7,-5.5497005988024,-92.651497005988,-4.1125748502994,835,0,0,0,0,0.924550898203593,0.0131736526946108,0,0,0,0,0,0
7Networks_LH_Vis_8,8,-47.1448663853727,-69.7215189873418,9.72714486638537,711,0,0,0.0478199718706048,0,0.867791842475387,0,0.00140646976090014,0,0,0,0,0
7Networks_LH_Vis_9,9,-22.5800756620429,-96.7515762925599,5.93947036569987,793,0,0,0,0,0.921815889029004,0,0,0,0,0,0,0
7Networks_LH_Vis_10,10,-11.3340425531915,-69.7851063829787,7.54042553191489,940,0,0,0.34468085106383,0,0.627659574468085,0.0106382978723404,0,0,0,0,0,0
7Networks_LH_Vis_11,11,-39.8911729141475,-84.5296251511487,10.2103990326481,827,0,0,0,0,0.900846432889964,0,0,0,0,0,0,0
7Networks_LH_Vis_12,12,-12.094395280236,-72.7433628318584,22.3834808259587,339,0,0,0.147492625368732,0,0.814159292035398,0,0,0,0,0,0,0
7Networks_LH_Vis_13,13,-7.52724077328647,-87.4604569420035,27.2583479789104,1138,0,0,0,0,0.919156414762742,0.0307557117750439,0,0,0,0,0,0
7Networks_LH_Vis_14,14,-23.0851334180432,-87.130876747141,24.005082592122,787,0,0,0,0,0.951715374841169,0,0,0,0,0,0,0
